algorithm_iteration;updated_approximation;approximation_snapshot_index;approximation_snapshot_label;cp_status;cp_optval;selected_w_0;selected_w_1
1;True;1;update_001;optimal;0.9915406607970988;1.0;0.0
2;True;2;update_002;optimal_inaccurate;0.9887033050447426;0.9999967823149253;0.0025368010950846663
3;False;;;optimal_inaccurate;0.9925287548363235;0.9999999999709431;7.623248299714708e-06
4;True;3;update_003;optimal;0.1735627734792411;0.8060116902133628;0.5918996158466385
5;False;;;optimal;0.37106512179622364;0.8834728995877148;0.4684822682813894
6;True;4;update_004;optimal;-0.11970512117692633;0.6563648399516712;0.7544436339947584
7;False;;;optimal;0.04401997703413496;0.7448322687684874;0.6672517451466033
8;False;;;optimal;-0.31645772144246326;0.5329146576616295;0.846168994734142
9;False;;;optimal;-0.9151859039782789;0.007337478474394303;0.999973080342485
10;False;;;optimal;-0.9214482370280831;0.0;1.0
